isinCd,credit_rating,credit_spread,duration_sensitivity,rating_signal,spread_signal,duration_signal,total_score,available_signals,investment_priority
KR103502GE97,,0.33,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GF39,,0.3309999999999995,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GF62,,0.0675826146475016,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GG38,,-0.1749999999999998,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR103502GG61,,-2.5453175906913077,고민감,,STABLE,YIELD,0,2,균형형
KR103503G865,,-4.011,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR103503GB99,,0.2279999999999997,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103503GE96,,-0.734,저민감,,STABLE,STABLE,2,2,안정성 중심
KR103503GF95,,0.0798535249828882,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103503GG37,,0.0438384668035594,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103503GG60,,0.0036824093086922,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103504GC97,,0.274,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103504GD96,,0.2429999999999994,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103504GF94,,0.2859999999999996,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103505GC96,,0.1909999999999998,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2001024992,,-1.1229999999999998,저민감,,STABLE,STABLE,2,2,안정성 중심
KR20010249C5,,-0.1949999999999998,저민감,,STABLE,STABLE,2,2,안정성 중심
KR2001024E60,,0.1764147843942503,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2001024F28,,0.3795103353867217,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2001024FB5,,1.871768377823409,고민감,,YIELD,YIELD,-2,2,수익률 중심
KR2001024G76,,0.277301848049281,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2001024G84,,0.2781600273785081,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2001034A21,,-0.5790000000000002,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR2002012CA8,,-0.2930000000000001,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR2002022G76,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2002022G84,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2003022G74,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2003022G82,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2004022G72,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2004022G80,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2006014C71,,-0.2850000000000001,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR2006014G77,,0.240163586584531,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2006014G85,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2006022G77,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2006022G85,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2007022G75,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2007022G83,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2007024G73,,0.2801635865845311,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2007024G81,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2008012G75,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2008012G83,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2022012D12,,0.5859999999999999,중간,,YIELD,NEUTRAL,-1,2,수익률 중심
KR2022022G74,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2022022G82,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2033022G71,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2033022G89,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2044022C80,,0.5260000000000002,중간,,YIELD,NEUTRAL,-1,2,수익률 중심
KR2044022G78,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2044022G86,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2055012C96,,2.06,중간,,YIELD,NEUTRAL,-1,2,수익률 중심
KR2055022C37,,0.3240000000000003,중간,,NEUTRAL,NEUTRAL,0,2,균형형
KR2055022C45,,0.3909999999999995,중간,,NEUTRAL,NEUTRAL,0,2,균형형
KR2055022G74,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2055022G82,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2066022C59,,-0.4060000000000001,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR2077022G78,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2077022G86,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2088022G75,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR2088022G83,,0.2908268309377138,,,NEUTRAL,,0,1,INSUFFICIENT_DATA
KR2099032G70,,0.2781635865845313,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
